"model","label_name","label_id","SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator","SegmentedPropertyCategoryCodeSequence.CodeValue","SegmentedPropertyCategoryCodeSequence.CodeMeaning","SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeCodeSequence.CodeValue","SegmentedPropertyTypeCodeSequence.CodeMeaning","SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeModifierCodeSequence.CodeValue","SegmentedPropertyTypeModifierCodeSequence.CodeMeaning","AnatomicRegionSequence.CodingSchemeDesignator","AnatomicRegionSequence.CodeValue","AnatomicRegionSequence.CodeMeaning","AnatomicRegionModifierSequence.CodingSchemeDesignator","AnatomicRegionModifierSequence.CodeValue","AnatomicRegionModifierSequence.CodeMeaning","recommendedDisplayRGBValue"
"total","lung_lower_lobe_left","","SCT","123037004","Anatomical Structure","SCT","90572001","Lower lobe of lung","SCT","7771000","Left","","","","","","","[242, 150, 232]"
"total","lung_lower_lobe_right","","SCT","123037004","Anatomical Structure","SCT","90572001","Lower lobe of lung","SCT","24028007","Right","","","","","","","[212, 191, 32]"
"total","lung_middle_lobe_right","","SCT","123037004","Anatomical Structure","SCT","72481006","Middle lobe of right lung","","","","","","","","","","[202, 164, 140]"
"total","lung_upper_lobe_left","","SCT","123037004","Anatomical Structure","SCT","45653009","Upper lobe of lung","SCT","7771000","Left","","","","","","","[112, 162, 95]"
"total","lung_upper_lobe_right","","SCT","123037004","Anatomical Structure","SCT","45653009","Upper lobe of lung","SCT","24028007","Right","","","","","","","[173, 69, 44]"
"total","pancreas","","SCT","123037004","Anatomical Structure","SCT","15776009","Pancreas","","","","","","","","","","[249, 180, 111]"
"total","portal_vein_and_splenic_vein","","SCT","123037004","Anatomical Structure","SCT","110765007","Portal vein and splenic vein","","","","","","","","","","[0, 151, 206]"
"total","pulmonary_artery","","SCT","123037004","Anatomical Structure","SCT","81040000","Pulmonary artery","","","","","","","","","","[0, 122, 171]"
"total","rib_left_1","","SCT","123037004","Anatomical Structure","SCT","48535007","First rib","SCT","7771000","Left","","","","","","","[0, 2, 145]"
"total","rib_left_2","","SCT","123037004","Anatomical Structure","SCT","78247007","Second rib","SCT","7771000","Left","","","","","","","[141, 186, 216]"
"total","rib_left_3","","SCT","123037004","Anatomical Structure","SCT","25888004","Third rib","SCT","7771000","Left","","","","","","","[30, 128, 188]"
"total","rib_left_4","","SCT","123037004","Anatomical Structure","SCT","25523003","Fourth rib","SCT","7771000","Left","","","","","","","[73, 228, 202]"
"total","rib_left_5","","SCT","123037004","Anatomical Structure","SCT","15339008","Fifth rib","SCT","7771000","Left","","","","","","","[8, 82, 73]"
"total","rib_left_6","","SCT","123037004","Anatomical Structure","SCT","59558009","Sixth rib","SCT","7771000","Left","","","","","","","[88, 119, 255]"
"total","rib_left_7","","SCT","123037004","Anatomical Structure","SCT","24915002","Seventh rib","SCT","7771000","Left","","","","","","","[109, 0, 145]"
"total","rib_left_8","","SCT","123037004","Anatomical Structure","SCT","5953002","Eighth rib","SCT","7771000","Left","","","","","","","[164, 216, 199]"
"total","rib_left_9","","SCT","123037004","Anatomical Structure","SCT","22565002","Ninth rib","SCT","7771000","Left","","","","","","","[96, 188, 62]"
"total","rib_left_10","","SCT","123037004","Anatomical Structure","SCT","77644006","Tenth rib","SCT","7771000","Left","","","","","","","[26, 97, 228]"
"total","rib_left_11","","SCT","123037004","Anatomical Structure","SCT","58830002","Eleventh rib","SCT","7771000","Left","","","","","","","[16, 164, 144]"
"total","rib_left_12","","SCT","123037004","Anatomical Structure","SCT","43993008","Twelfth rib","SCT","7771000","Left","","","","","","","[166, 89, 255]"
"total","rib_right_1","","SCT","123037004","Anatomical Structure","SCT","48535007","First rib","SCT","24028007","Right","","","","","","","[0, 2, 145]"
"total","rib_right_2","","SCT","123037004","Anatomical Structure","SCT","78247007","Second rib","SCT","24028007","Right","","","","","","","[141, 186, 216]"
"total","rib_right_3","","SCT","123037004","Anatomical Structure","SCT","25888004","Third rib","SCT","24028007","Right","","","","","","","[30, 128, 188]"
"total","rib_right_4","","SCT","123037004","Anatomical Structure","SCT","25523003","Fourth rib","SCT","24028007","Right","","","","","","","[73, 228, 202]"
"total","rib_right_5","","SCT","123037004","Anatomical Structure","SCT","15339008","Fifth rib","SCT","24028007","Right","","","","","","","[8, 82, 73]"
"total","rib_right_6","","SCT","123037004","Anatomical Structure","SCT","59558009","Sixth rib","SCT","24028007","Right","","","","","","","[88, 119, 255]"
"total","rib_right_7","","SCT","123037004","Anatomical Structure","SCT","24915002","Seventh rib","SCT","24028007","Right","","","","","","","[109, 0, 145]"
"total","rib_right_8","","SCT","123037004","Anatomical Structure","SCT","5953002","Eighth rib","SCT","24028007","Right","","","","","","","[164, 216, 199]"
"total","rib_right_9","","SCT","123037004","Anatomical Structure","SCT","22565002","Ninth rib","SCT","24028007","Right","","","","","","","[96, 188, 62]"
"total","rib_right_10","","SCT","123037004","Anatomical Structure","SCT","77644006","Tenth rib","SCT","24028007","Right","","","","","","","[26, 97, 228]"
"total","rib_right_11","","SCT","123037004","Anatomical Structure","SCT","58830002","Eleventh rib","SCT","24028007","Right","","","","","","","[16, 164, 144]"
"total","rib_right_12","","SCT","123037004","Anatomical Structure","SCT","43993008","Twelfth rib","SCT","24028007","Right","","","","","","","[166, 89, 255]"
"total","sacrum","","SCT","123037004","Anatomical Structure","SCT","54735007","Sacrum","","","","","","","","","","[163, 140, 140]"
"total","scapula_left","","SCT","123037004","Anatomical Structure","SCT","79601000","Scapula","SCT","7771000","Left","","","","","","","[199, 204, 131]"
"total","scapula_right","","SCT","123037004","Anatomical Structure","SCT","79601000","Scapula","SCT","24028007","Right","","","","","","","[199, 204, 131]"
"total","small_bowel","","SCT","123037004","Anatomical Structure","SCT","30315005","Small Intestine","","","","","","","","","","[205, 167, 142]"
"total","spleen","","SCT","123037004","Anatomical Structure","SCT","78961009","Spleen","","","","","","","","","","[157, 108, 162]"
"total","stomach","","SCT","123037004","Anatomical Structure","SCT","69695003","Stomach","","","","","","","","","","[160, 139, 76]"
"total","trachea","","SCT","123037004","Anatomical Structure","SCT","44567001","Trachea","","","","","","","","","","[182, 228, 255]"
"total","urinary_bladder","","SCT","123037004","Anatomical Structure","SCT","89837001","Urinary bladder","","","","","","","","","","[222, 154, 132]"
"total","vertebrae_S1","","SCT","123037004","Anatomical Structure","SCT","65985001","S1 vertebra","","","","","","","","","",""
"total","vertebrae_C1","","SCT","123037004","Anatomical Structure","SCT","14806007","C1 vertebra","","","","","","","","","","[255, 186, 107]"
"total","vertebrae_C2","","SCT","123037004","Anatomical Structure","SCT","39976000","C2 vertebra","","","","","","","","","","[193, 99, 36]"
"total","vertebrae_C3","","SCT","123037004","Anatomical Structure","SCT","113205007","C3 vertebra","","","","","","","","","","[167, 117, 152]"
"total","vertebrae_C4","","SCT","123037004","Anatomical Structure","SCT","5329002","C4 vertebra","","","","","","","","","","[250, 14, 116]"
