,Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTAcceptableTerms
83,scapula_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,79601000,Scapula,"['Bone structure of scapula (body structure)', 'Bone structure of scapula']","['Scapula', 'Shoulder blade']",SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
84,scapula_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,79601000,Scapula,"['Bone structure of scapula (body structure)', 'Bone structure of scapula']","['Scapula', 'Shoulder blade']",SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
85,clavicula_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,51299004,Clavicle,"['Bone structure of clavicle (body structure)', 'Bone structure of clavicle']","['Collar bone', 'Clavicle']",SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
86,clavicula_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,51299004,Clavicle,"['Bone structure of clavicle (body structure)', 'Bone structure of clavicle']","['Collar bone', 'Clavicle']",SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
87,femur_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,71341001,Femur,"['Bone structure of femur', 'Bone structure of femur (body structure)']",['Femur'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
88,femur_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,71341001,Femur,"['Bone structure of femur', 'Bone structure of femur (body structure)']",['Femur'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
89,hip_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,29836001,Hip,"['The body part defined by the hip joint and surrounding structures, including the region from the iliac crest to the thigh', 'Hip region structure (body structure)', 'Hip region structure']","['Hip structure', 'Hip region']",SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
90,hip_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,29836001,Hip,"['The body part defined by the hip joint and surrounding structures, including the region from the iliac crest to the thigh', 'Hip region structure (body structure)', 'Hip region structure']","['Hip structure', 'Hip region']",SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
91,sacrum,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,54735007,Sacrum,"['Bone structure of sacrum (body structure)', 'Bone structure of sacrum']",['Sacral bone'],,,,[],[]
92,face,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,89545001,Face,"['Face structure', 'Face structure (body structure)']",['Face'],,,,[],[]
93,gluteus_maximus_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,181674001,Gluteus maximus muscle,"['Entire gluteus maximus muscle', 'Entire gluteus maximus muscle (body structure)']",['Entire gluteus maximus'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
94,gluteus_maximus_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,181674001,Gluteus maximus muscle,"['Entire gluteus maximus muscle', 'Entire gluteus maximus muscle (body structure)']",['Entire gluteus maximus'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
95,gluteus_medius_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,78333006,Gluteus medius muscle,"['Structure of gluteus medius muscle (body structure)', 'Structure of gluteus medius muscle']",['Gluteus medius muscle'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
96,gluteus_medius_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,78333006,Gluteus medius muscle,"['Structure of gluteus medius muscle (body structure)', 'Structure of gluteus medius muscle']",['Gluteus medius muscle'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
97,gluteus_minimus_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,78333006,Gluteus medius muscle,"['Structure of gluteus medius muscle (body structure)', 'Structure of gluteus medius muscle']",['Gluteus medius muscle'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
98,gluteus_minimus_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,78333006,Gluteus medius muscle,"['Structure of gluteus medius muscle (body structure)', 'Structure of gluteus medius muscle']",['Gluteus medius muscle'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
99,autochthon_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,44947003,Erector spinae muscle,"['Structure of erector spinae muscle', 'Structure of erector spinae muscle (body structure)']",['Erector spinae muscle'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
100,autochthon_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,44947003,Erector spinae muscle,"['Structure of erector spinae muscle', 'Structure of erector spinae muscle (body structure)']",['Erector spinae muscle'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
101,iliopsoas_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,68455001,Iliopsoas muscle,"['Structure of iliopsoas muscle (body structure)', 'Structure of iliopsoas muscle']",['Iliopsoas muscle'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
102,iliopsoas_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,68455001,Iliopsoas muscle,"['Structure of iliopsoas muscle (body structure)', 'Structure of iliopsoas muscle']",['Iliopsoas muscle'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
103,urinary_bladder,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,89837001,Bladder,"['Urinary bladder structure (body structure)', 'Urinary bladder structure']","['Bladder', 'Urinary bladder', 'Bladder structure']",,,,[],[]
