,Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTAcceptableTerms
18,vertebrae_L4,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,11994002,L4 vertebra,"['Bone structure of L4 (body structure)', 'Bone structure of L4']",['Fourth lumbar vertebra'],,,,[],[]
19,vertebrae_L3,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,36470004,L3 vertebra,"['Bone structure of L3 (body structure)', 'Bone structure of L3']",['Third lumbar vertebra'],,,,[],[]
20,vertebrae_L2,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,14293000,L2 vertebra,"['Bone structure of L2', 'Bone structure of L2 (body structure)']",['Second lumbar vertebra'],,,,[],[]
21,vertebrae_L1,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,66794005,L1 vertebra,"['Bone structure of L1 (body structure)', 'Bone structure of L1']",['First lumbar vertebra'],,,,[],[]
22,vertebrae_T12,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,23215003,T12 vertebra,"['Bone structure of T12', 'Bone structure of T12 (body structure)']","['Twelfth thoracic vertebra', 'Twelfth dorsal vertebra']",,,,[],[]
23,vertebrae_T11,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,12989004,T11 vertebra,"['Bone structure of T11', 'Bone structure of T11 (body structure)']","['Eleventh thoracic vertebra', 'Eleventh dorsal vertebra']",,,,[],[]
24,vertebrae_T10,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,7610001,T10 vertebra,"['Bone structure of T10', 'Bone structure of T10 (body structure)']","['Tenth thoracic vertebra', 'Tenth dorsal vertebra']",,,,[],[]
25,vertebrae_T9,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,82687006,T9 vertebra,"['Bone structure of T9', 'Bone structure of T9 (body structure)']","['Ninth thoracic vertebra', 'Ninth dorsal vertebra']",,,,[],[]
26,vertebrae_T8,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,11068009,T8 vertebra,"['Bone structure of T8', 'Bone structure of T8 (body structure)']","['Eighth thoracic vertebra', 'Eighth dorsal vertebra']",,,,[],[]
27,vertebrae_T7,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,62487009,T7 vertebra,"['Bone structure of T7 (body structure)', 'Bone structure of T7']","['Seventh thoracic vertebra', 'Seventh dorsal vertebra']",,,,[],[]
28,vertebrae_T6,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,45296009,T6 vertebra,"['Bone structure of T6 (body structure)', 'Bone structure of T6']","['Sixth thoracic vertebra', 'Sixth dorsal vertebra']",,,,[],[]
29,vertebrae_T5,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,56401006,T5 vertebra,"['Bone structure of T5 (body structure)', 'Bone structure of T5']","['Fifth thoracic vertebra', 'Fifth dorsal vertebra']",,,,[],[]
30,vertebrae_T4,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,73071006,T4 vertebra,"['Bone structure of T4 (body structure)', 'Bone structure of T4']","['Fourth dorsal vertebra', 'Fourth thoracic vertebra']",,,,[],[]
31,vertebrae_T3,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,1626008,T3 vertebra,"['Bone structure of T3', 'Bone structure of T3 (body structure)']","['Third thoracic vertebra', 'Third dorsal vertebra']",,,,[],[]
32,vertebrae_T2,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,53733008,T2 vertebra,"['Bone structure of T2', 'Bone structure of T2 (body structure)']","['Second dorsal vertebra', 'Second thoracic vertebra']",,,,[],[]
33,vertebrae_T1,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,64864005,T1 vertebra,"['Bone structure of T1 (body structure)', 'Bone structure of T1']","['First thoracic vertebra', 'First dorsal vertebra']",,,,[],[]
34,vertebrae_C7,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,87391001,C7 vertebra,"['Bone structure of C7 (body structure)', 'Bone structure of C7']","['Prominent vertebra', 'Vertebra prominens', 'Seventh cervical vertebra']",,,,[],[]
35,vertebrae_C6,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,36054005,C6 vertebra,"['Bone structure of C6 (body structure)', 'Bone structure of C6']",['Sixth cervical vertebra'],,,,[],[]
36,vertebrae_C5,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,36978003,C5 vertebra,"['Bone structure of C5', 'Bone structure of C5 (body structure)']",['Fifth cervical vertebra'],,,,[],[]
37,vertebrae_C4,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,5329002,C4 vertebra,"['Bone structure of C4', 'Bone structure of C4 (body structure)']",['Fourth cervical vertebra'],,,,[],[]
38,vertebrae_C3,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,113205007,C3 vertebra,"['Bone structure of C3 (body structure)', 'Bone structure of C3']",['Third cervical vertebra'],,,,[],[]
39,vertebrae_C2,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,39976000,C2 vertebra,"['Bone structure of axis (body structure)', 'Bone structure of axis']","['Specific axis site', 'Second cervical vertebra', 'Axis']",,,,[],[]
40,vertebrae_C1,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,14806007,C1 vertebra,"['Bone structure of atlas', 'Bone structure of atlas (body structure)']","['Atlas', 'First cervical vertebra', 'C1 vertebra']",,,,[],[]
41,esophagus,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,32849002,Esophagus,"['Esophageal structure (body structure)', 'Esophageal structure']",['Esophagus'],,,,[],[]
42,trachea,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,44567001,Trachea,"['Tracheal structure (body structure)', 'Tracheal structure']","['Windpipe', 'Trachea']",,,,[],[]
43,heart_myocardium,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,80891009,Heart,"['Heart structure (body structure)', 'Heart structure']","['Heart', 'Cardiac structure']",,,,[],[]
44,heart_atrium_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,82471001,Left atrium,"['Left atrial structure', 'Left atrial structure (body structure)']",['Left atrium'],,,,[],[]
45,heart_ventricle_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,87878005,Left ventricle,"['Left cardiac ventricular structure (body structure)', 'Left cardiac ventricular structure']","['Left ventricular structure', 'Left ventricle of heart', 'Left ventricle']",,,,[],[]
46,heart_atrium_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,73829009,Right atrium,"['Right atrial structure (body structure)', 'Right atrial structure']",['Right atrium'],,,,[],[]
47,heart_ventricle_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,53085002,Right ventricle,"['Right cardiac ventricular structure (body structure)', 'Right cardiac ventricular structure']","['Right ventricle of heart', 'Right ventricle', 'Right ventricular structure']",,,,[],[]
48,pulmonary_artery,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,81040000,Pulmonary artery,"['Pulmonary artery structure (body structure)', 'Pulmonary artery structure']",['Pulmonary artery'],,,,[],[]
49,brain,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,12738006,Brain,"['Brain structure (body structure)', 'Brain structure']",['Brain'],,,,[],[]
50,iliac_artery_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,73634005,Common iliac artery,"['Common iliac artery structure (body structure)', 'Common iliac artery structure']",['Common iliac artery'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
51,iliac_artery_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,73634005,Common iliac artery,"['Common iliac artery structure (body structure)', 'Common iliac artery structure']",['Common iliac artery'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
52,iliac_vena_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,46027005,Common iliac vein,"['Structure of common iliac vein (body structure)', 'Structure of common iliac vein']",['Common iliac vein'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
53,iliac_vena_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,46027005,Common iliac vein,"['Structure of common iliac vein (body structure)', 'Structure of common iliac vein']",['Common iliac vein'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
54,small_bowel,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,30315005,Small Intestine,"['Structure of small intestine', 'Structure of small intestine (body structure)']","['Small intestine', 'Small bowel', 'Small intestinal structure']",,,,[],[]
55,duodenum,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,38848004,Duodenum,"['Duodenal structure (body structure)', 'Duodenal structure']",['Duodenum'],,,,[],[]
56,colon,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,71854001,Colon,"['Colon structure', 'Colon structure (body structure)']",['Colon'],,,,[],[]
57,rib_left_1,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,48535007,First rib,"['Bone structure of first rib', 'Bone structure of first rib (body structure)']",['First rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
58,rib_left_2,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,78247007,Second rib,"['Bone structure of second rib (body structure)', 'Bone structure of second rib']",['Second rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
59,rib_left_3,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,25888004,Third rib,"['Bone structure of third rib (body structure)', 'Bone structure of third rib']",['Third rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
60,rib_left_4,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,25523003,Fourth rib,"['Bone structure of fourth rib', 'Bone structure of fourth rib (body structure)']",['Fourth rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
61,rib_left_5,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,15339008,Fifth rib,"['Bone structure of fifth rib (body structure)', 'Bone structure of fifth rib']",['Fifth rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
62,rib_left_6,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,59558009,Sixth rib,"['Bone structure of sixth rib', 'Bone structure of sixth rib (body structure)']",['Sixth rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
63,rib_left_7,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,24915002,Seventh rib,"['Bone structure of seventh rib (body structure)', 'Bone structure of seventh rib']",['Seventh rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
64,rib_left_8,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,5953002,Eighth rib,"['Bone structure of eighth rib', 'Bone structure of eighth rib (body structure)']",['Eighth rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
65,rib_left_9,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,22565002,Ninth rib,"['Bone structure of ninth rib (body structure)', 'Bone structure of ninth rib']",['Ninth rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
66,rib_left_10,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,77644006,Tenth rib,"['Bone structure of tenth rib', 'Bone structure of tenth rib (body structure)']",['Tenth rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
67,rib_left_11,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,58830002,Eleventh rib,"['Bone structure of eleventh rib', 'Bone structure of eleventh rib (body structure)']",['Eleventh rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
68,rib_left_12,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,43993008,Twelfth rib,"['Bone structure of twelfth rib', 'Bone structure of twelfth rib (body structure)']",['Twelfth rib'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
69,rib_right_1,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,48535007,First rib,"['Bone structure of first rib', 'Bone structure of first rib (body structure)']",['First rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
70,rib_right_2,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,78247007,Second rib,"['Bone structure of second rib (body structure)', 'Bone structure of second rib']",['Second rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
71,rib_right_3,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,25888004,Third rib,"['Bone structure of third rib (body structure)', 'Bone structure of third rib']",['Third rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
72,rib_right_4,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,25523003,Fourth rib,"['Bone structure of fourth rib', 'Bone structure of fourth rib (body structure)']",['Fourth rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
73,rib_right_5,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,15339008,Fifth rib,"['Bone structure of fifth rib (body structure)', 'Bone structure of fifth rib']",['Fifth rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
74,rib_right_6,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,59558009,Sixth rib,"['Bone structure of sixth rib', 'Bone structure of sixth rib (body structure)']",['Sixth rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
75,rib_right_7,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,24915002,Seventh rib,"['Bone structure of seventh rib (body structure)', 'Bone structure of seventh rib']",['Seventh rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
76,rib_right_8,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,5953002,Eighth rib,"['Bone structure of eighth rib', 'Bone structure of eighth rib (body structure)']",['Eighth rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
77,rib_right_9,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,22565002,Ninth rib,"['Bone structure of ninth rib (body structure)', 'Bone structure of ninth rib']",['Ninth rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
78,rib_right_10,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,77644006,Tenth rib,"['Bone structure of tenth rib', 'Bone structure of tenth rib (body structure)']",['Tenth rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
79,rib_right_11,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,58830002,Eleventh rib,"['Bone structure of eleventh rib', 'Bone structure of eleventh rib (body structure)']",['Eleventh rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
80,rib_right_12,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,43993008,Twelfth rib,"['Bone structure of twelfth rib', 'Bone structure of twelfth rib (body structure)']",['Twelfth rib'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
81,humerus_left,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,85050009,Humerus,"['Bone structure of humerus', 'Bone structure of humerus (body structure)']",['Humerus'],SCT,7771000,Left,"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
82,humerus_right,SCT,123037004,Anatomical Structure,"['Body structure (body structure)', 'Body structure']",['Body structures'],SCT,85050009,Humerus,"['Bone structure of humerus', 'Bone structure of humerus (body structure)']",['Humerus'],SCT,24028007,Right,"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
