pyradiomicsFeature
shape_Elongation
shape_Flatness
shape_LeastAxisLength
shape_MajorAxisLength
shape_Maximum2DDiameterColumn
shape_Maximum2DDiameterRow
shape_Maximum2DDiameterSlice
shape_Maximum3DDiameter
shape_MeshVolume
shape_MinorAxisLength
shape_Sphericity
shape_SurfaceArea
shape_SurfaceVolumeRatio
shape_VoxelVolume
firstorder_10Percentile
firstorder_90Percentile
firstorder_Energy
firstorder_Entropy
firstorder_InterquartileRange
firstorder_Kurtosis
firstorder_Maximum
firstorder_MeanAbsoluteDeviation
firstorder_Mean
firstorder_Median
firstorder_Minimum
firstorder_Range
firstorder_RobustMeanAbsoluteDeviation
firstorder_RootMeanSquared
firstorder_Skewness
firstorder_TotalEnergy
firstorder_Uniformity
firstorder_Variance
