,Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTAcceptableTerms
18,gluteus_medius_right,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of gluteus medius muscle (body structure)', 'Structure of gluteus medius muscle']",['Gluteus medius muscle'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
19,gluteus_minimus_left,SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of gluteus minimus muscle (body structure)', 'Structure of gluteus minimus muscle']",['Gluteus minimus muscle'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
20,gluteus_minimus_right,SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of gluteus minimus muscle (body structure)', 'Structure of gluteus minimus muscle']",['Gluteus minimus muscle'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
21,heart_atrium_left,SCT,123037004,Anatomical Structure,SCT,82471001,Left atrium,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Left atrial structure', 'Left atrial structure (body structure)']",['Left atrium'],[],[]
22,heart_atrium_right,SCT,123037004,Anatomical Structure,SCT,73829009,Right atrium,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Right atrial structure (body structure)', 'Right atrial structure']",['Right atrium'],[],[]
23,heart_myocardium,SCT,123037004,Anatomical Structure,SCT,74281007,Myocardium,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Myocardium structure', 'Myocardium structure (body structure)']","['Myocardium', 'Cardiac muscle']",[],[]
24,heart_ventricle_left,SCT,123037004,Anatomical Structure,SCT,87878005,Left ventricle of heart,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Left cardiac ventricular structure (body structure)', 'Left cardiac ventricular structure']","['Left ventricular structure', 'Left ventricle of heart', 'Left ventricle']",[],[]
25,heart_ventricle_right,SCT,123037004,Anatomical Structure,SCT,53085002,Right ventricle of heart,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Right cardiac ventricular structure (body structure)', 'Right cardiac ventricular structure']","['Right ventricle of heart', 'Right ventricle', 'Right ventricular structure']",[],[]
26,hip_left,SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['The body part defined by the hip joint and surrounding structures, including the region from the iliac crest to the thigh', 'Hip region structure (body structure)', 'Hip region structure']","['Hip structure', 'Hip region']","['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
27,hip_right,SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['The body part defined by the hip joint and surrounding structures, including the region from the iliac crest to the thigh', 'Hip region structure (body structure)', 'Hip region structure']","['Hip structure', 'Hip region']","['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
