entity:twoVM_full_id	SeriesInstanceUIDs	idc-version	n_series	sum_voxels	sum_slices	sum_size_MB	max_slices
11	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.103255590739877061878980870666899074818"", ""1.3.6.1.4.1.14519.5.2.1.258768307337784439167476774224944366521"", ""1.3.6.1.4.1.14519.5.2.1.215413952706064272732851467916989250597"", ""1.3.6.1.4.1.14519.5.2.1.187777961584623650891712203022527599845""]}"	v24	4	292814848	1117	588.6	704
12	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.112678838274406619494214520679829257068"", ""1.3.6.1.4.1.14519.5.2.1.1.17083901482397162531348959331745032893"", ""1.3.6.1.4.1.14519.5.2.1.1.32088189862789506707968558004303915476"", ""1.3.6.1.4.1.14519.5.2.1.243756025044047204534735432443855526452"", ""1.3.6.1.4.1.14519.5.2.1.318080636123296222034478215069054625192"", ""1.3.6.1.4.1.14519.5.2.1.307314824084878387422998346484"", ""1.3.6.1.4.1.14519.5.2.1.7547620309298109523681252766375779481"", ""1.3.6.1.4.1.14519.5.2.1.194558602208884452408236958967501085888""]}"	v24	8	292908032	869	588.7	184
13	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.122919780425121062137114358503290274963"", ""1.3.6.1.4.1.14519.5.2.1.196869859146688272434927886073410599654"", ""1.3.6.1.4.1.14519.5.2.1.318805934374190041095208793568297792978"", ""1.3.6.1.4.1.14519.5.2.1.220655828044519999271394692927939229335"", ""1.3.6.1.4.1.14519.5.2.1.14092653536187608098504080065423397500""]}"	v24	5	297314816	1086	598.8	777
14	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.339949878105121365044437708339439207004"", ""1.3.6.1.4.1.14519.5.2.1.1.83636738456965736762808445584251636990"", ""1.3.6.1.4.1.14519.5.2.1.1.23694411954202714632987878395617350913"", ""1.3.6.1.4.1.14519.5.2.1.95764189420172242713483372877044880191"", ""1.3.6.1.4.1.14519.5.2.1.257840686411526327286486672964459599240""]}"	v24	5	291966976	1020	587.3	319
15	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.43509811384677413449362719288416820697"", ""1.3.6.1.4.1.14519.5.2.1.9174273444782093753910748748700824185"", ""1.3.6.1.4.1.14519.5.2.1.85307384467135348763089000751092224645"", ""1.3.6.1.4.1.14519.5.2.1.240620774653464935712777158418490101921"", ""1.3.6.1.4.1.14519.5.2.1.306855052429267931657485421144564531864""]}"	v24	5	278824960	985	561.2	416
16	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.93115600544116865353835237214156427572"", ""1.3.6.1.4.1.14519.5.2.1.234675230338164863796545288863466128635"", ""1.3.6.1.4.1.14519.5.2.1.328191447103496096641891853177822630314"", ""1.3.6.1.4.1.14519.5.2.1.182984686210426362541559485038392737232"", ""1.3.6.1.4.1.14519.5.2.1.245297833619656540172624810178878578227"", ""1.3.6.1.4.1.14519.5.2.1.32972522649949259184672670509684209788"", ""1.3.6.1.4.1.14519.5.2.1.712065324292352474364114341722"", ""1.3.6.1.4.1.14519.5.2.1.1.47379642280005324264584295530405490552"", ""1.3.6.1.4.1.14519.5.2.1.1.18257631169789304792154241559195700577""]}"	v24	9	262655744	967	529.2	344
17	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.42896126568273253937492806140585222063"", ""1.3.6.1.4.1.14519.5.2.1.1.26683611924086583836846805415522119842"", ""1.3.6.1.4.1.14519.5.2.1.1.27759714073557887899164665460835755101"", ""1.3.6.1.4.1.14519.5.2.1.311912846516849706861287190602085341173""]}"	v24	4	276824064	1056	556.8	336
18	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.337618385334987052372535477424841795272"", ""1.3.6.1.4.1.14519.5.2.1.1.25517646123325497162029314881360493352"", ""1.3.6.1.4.1.14519.5.2.1.1.23037859113352535110034718130758188675"", ""1.3.6.1.4.1.14519.5.2.1.64583200998145625277172705961196784788"", ""1.3.6.1.4.1.14519.5.2.1.1.33181861795026981136778106192444157342"", ""1.3.6.1.4.1.14519.5.2.1.82543044238682013164335242968599577987"", ""1.3.6.1.4.1.14519.5.2.1.1.19880787319062036613045807811600357355"", ""1.3.6.1.4.1.14519.5.2.1.1.20965205543541807178735964729050520467"", ""1.3.6.1.4.1.14519.5.2.1.127303953783088177178639653728309087767""]}"	v24	9	303300608	1157	610.9	170
19	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.247601679566784096556608932465549543945"", ""1.3.6.1.4.1.14519.5.2.1.1260797941628425878013832176807156160"", ""1.3.6.1.4.1.14519.5.2.1.91953589875311371259446931949153196911"", ""1.3.6.1.4.1.14519.5.2.1.1.30230075146740863998897798929496099898"", ""1.3.6.1.4.1.14519.5.2.1.94846366564229330029901478421196038986""]}"	v24	5	294512128	1078	593.3	436
20	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1.4291200191288421572897882305472855560"", ""1.3.6.1.4.1.14519.5.2.1.237110412960705944887155207058446949374"", ""1.3.6.1.4.1.14519.5.2.1.44052326161788299872116899031208005073""]}"	v24	3	293339136	1119	591.5	629
